CBO,DCC,ExportCoupling,ImportCoupling,NOM,WMC,Defect
9,2,7,2,13,41,1
6,3,5,3,8,8,0
80,1,79,1,7,9,0
1,1,1,1,7,7,0
1,0,1,0,4,4,0
0,0,0,0,0,0,0
7,1,4,3,12,23,1
0,0,0,0,1,8,0
18,0,20,1,21,135,0
2,0,2,0,13,13,0
7,1,3,4,11,44,1
5,0,7,0,1,3,0
6,2,0,6,12,39,1
3,1,0,3,3,7,0
2,0,2,0,2,10,0
55,5,58,7,68,162,1
14,4,6,9,8,29,1
3,1,3,2,8,11,1
12,3,10,5,18,37,1
71,4,70,4,18,20,0
5,0,3,2,3,4,0
8,2,2,7,5,11,1
8,1,0,8,8,21,0
8,2,1,7,9,29,0
5,0,0,5,6,40,0
5,3,0,6,12,33,0
4,2,0,5,4,5,0
7,2,0,7,13,19,0
5,1,0,5,3,5,0
11,3,1,10,16,59,0
5,0,0,5,7,20,0
3,0,0,3,5,13,0
8,1,0,8,11,28,0
5,2,0,6,17,55,0
2,0,0,2,3,11,0
5,0,0,5,6,12,0
3,0,0,3,9,22,0
14,5,5,10,18,37,0
17,4,9,8,16,41,1
5,4,1,6,5,11,0
10,4,2,8,10,26,0
1,0,2,0,5,5,0
3,0,2,1,7,14,0
1,0,0,1,2,4,0
6,1,0,6,4,16,0
3,0,0,3,5,17,0
5,0,0,5,7,64,1
3,0,0,3,3,17,0
3,0,0,3,5,10,0
5,0,0,5,13,35,0
4,0,0,4,7,39,0
6,0,1,5,5,26,0
10,5,0,12,21,35,0
12,2,3,11,41,65,0
1,1,0,1,3,7,0
11,3,0,12,63,146,0
3,2,0,4,1,6,0
1,1,1,1,11,21,0
2,0,0,2,7,16,0
7,1,6,1,6,11,0
7,1,6,2,0,0,0
14,3,11,4,11,19,0
2,0,0,2,2,6,1
5,0,0,5,3,22,0
5,1,0,5,8,16,0
9,2,2,8,26,62,1
6,0,5,1,8,8,0
3,0,0,3,4,10,0
5,0,0,5,15,45,1
11,3,0,12,18,50,1
5,3,0,6,22,77,0
5,0,0,5,13,35,0
1,0,1,0,1,2,0
7,2,0,8,7,38,0
1,1,0,1,2,5,0
6,2,1,6,7,13,0
6,0,3,3,5,27,0
9,4,0,9,8,25,0
3,2,0,4,2,3,0
4,0,0,4,3,13,0
8,2,0,8,6,20,0
6,1,0,6,8,14,0
1,0,1,0,3,3,0
6,1,0,6,12,43,0
11,4,2,10,20,84,1
1,1,2,1,2,2,0
7,2,1,7,2,10,0
13,5,4,10,8,38,1
6,0,1,5,1,5,0
6,0,1,5,1,3,0
6,0,1,5,1,21,0
5,0,1,4,1,9,0
21,1,19,2,15,45,0
7,4,2,5,20,30,1
7,3,5,3,8,15,0
8,0,7,1,4,9,0
4,1,3,2,2,4,0
21,5,15,7,14,37,1
10,4,3,8,10,33,0
24,3,18,7,20,65,0
10,2,6,5,16,53,1
8,1,13,2,3,6,0
7,2,3,6,8,12,0
3,0,2,1,5,9,0
1,0,1,0,3,33,0
4,0,4,0,3,3,0
1,0,1,0,3,3,0
2,0,2,0,4,9,0
1,0,1,0,3,3,0
3,0,3,0,3,3,0
3,1,0,3,4,11,0
9,2,7,2,2,20,0
1,0,0,1,4,6,0
1,0,0,1,4,6,0
1,0,2,0,4,4,0
2,1,1,2,2,3,0
12,3,9,4,13,41,0
9,3,9,4,8,8,0
102,1,101,1,7,9,0
1,1,1,1,7,7,0
1,0,1,0,4,4,0
0,0,0,0,0,0,0
7,1,4,3,12,23,1
2,1,1,1,6,13,0
0,0,0,0,1,8,0
21,0,23,1,21,135,0
1,0,1,0,1,1,0
2,0,3,0,13,13,0
8,2,3,6,11,44,0
1,1,0,1,5,21,0
5,0,7,0,1,3,0
7,2,0,7,12,39,0
3,1,0,3,3,7,0
2,0,2,0,2,10,0
69,8,68,11,68,162,0
57,1,57,1,4,5,0
19,5,10,11,8,29,0
5,1,4,2,8,11,0
13,4,12,5,18,37,0
89,3,88,6,18,20,0
6,0,3,3,3,4,0
2,1,2,1,1,1,0
10,2,2,9,5,11,0
8,1,0,8,8,21,0
3,1,0,3,7,28,1
9,2,1,8,9,29,1
6,0,0,6,6,40,1
6,3,1,7,12,33,0
2,0,0,2,5,12,0
5,2,0,6,4,5,1
9,2,0,9,13,19,1
6,1,0,6,3,5,0
4,0,0,4,3,6,1
15,5,1,14,16,59,1
6,0,0,6,7,20,0
4,0,0,4,5,13,0
10,1,0,10,11,28,1
6,3,1,6,13,34,0
6,2,0,7,17,55,0
2,0,0,2,3,11,0
6,2,0,6,5,50,1
6,1,0,6,6,12,0
6,0,0,6,6,12,0
4,0,0,4,9,22,0
14,5,4,11,18,37,1
19,4,10,9,16,41,1
6,4,1,6,5,11,0
13,6,1,12,10,26,1
1,0,2,0,5,5,0
3,0,2,1,7,14,0
4,0,0,4,2,4,1
7,1,0,7,4,16,1
5,0,0,5,5,17,0
5,0,0,5,7,64,0
4,0,0,4,3,17,0
2,0,0,2,5,10,0
